danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.831,0.814,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985
0.719,0.493,8,-7.23,1,0.0794,0.401,0,0.118,0.124,115.08
0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14E-06,0.372,0.0391,218.05
0.476,0.781,0,-4.71,1,0.103,0.0237,0,0.114,0.175,186.948
0.798,0.624,2,-7.668,1,0.293,0.217,0,0.166,0.591,147.988
0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915
0.718,0.668,8,-4.162,1,0.137,0.0254,0.0078,0.124,0.038,130.826
0.694,0.711,8,-5.525,1,0.221,0.0397,0,0.112,0.283,138.049
0.774,0.751,1,-2.445,1,0.198,0.0614,0,0.0728,0.189,219.96
0.893,0.907,11,-10.406,1,0.367,0.152,0.0311,0.558,0.302,199.942
0.864,0.365,8,-10.219,1,0.0655,0.187,0,0.116,0.0478,189.938
0.736,0.932,1,-3.726,1,0.271,0.146,0.0025,0.182,0.18,124.514
0.825,0.761,8,-5.389,1,0.104,0.0111,0.00359,0.334,0.161,149.97
0.767,0.576,10,-9.683,0,0.256,0.145,2.61E-06,0.0968,0.187,139.99
0.765,0.726,5,-5.58,1,0.191,0.0077,0,0.619,0.27,128.014
0.617,0.541,6,-4.113,1,0.78,0.125,0,0.369,0.43,159.996
0.755,0.298,1,-15.032,1,0.0915,0.154,0.329,0.101,0.0372,199.958
0.814,0.575,11,-9.635,1,0.0635,0.172,0.000291,0.109,0.288,120.004
0.812,0.813,10,-5.583,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066
0.849,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,212.15
0.602,0.578,0,-5.61,1,0.0283,0.0343,0,0.164,0.156,114.956
0.876,0.768,7,-6.606,1,0.201,0.112,1.21E-05,0.283,0.72,111.958
0.777,0.711,0,-3.902,1,0.137,0.312,0,0.205,0.293,139.973
0.829,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97
0.783,0.929,11,0.551,0,0.0893,0.2,0.00414,0.689,0.152,118.03
0.787,0.727,1,-7.194,1,0.265,0.000997,0.0017,0.376,0.21,141.52
0.705,0.648,4,-10.467,0,0.141,0.00476,0.000595,0.373,0.398,130.037
0.69,0.76,1,-5.431,1,0.0895,0.0525,0,0.134,0.0797,125.013
0.799,0.966,0,-4.586,1,0.366,0.089,0,0.658,0.864,139.967
0.936,0.476,1,-11.439,1,0.403,0.0139,0,0.402,0.363,121.979
0.838,0.634,8,-8.076,1,0.0931,0.00537,0,0.111,0.224,114.771
0.964,0.51,1,-7.003,1,0.242,0.000214,6.47E-06,0.0549,0.474,130.028
0.83,0.387,10,-12.908,0,0.345,0.0858,0.407,0.0926,0.561,120.006
0.455,0.525,5,-12.692,0,0.0455,0.136,0.734,0.125,0.279,119.999
0.748,0.573,9,-9.907,1,0.0543,0.484,2.59E-06,0.0929,0.193,117.962
0.745,0.688,6,-9.263,0,0.103,0.264,0.00906,0.077,0.522,114.997
0.722,0.519,0,-12.871,1,0.0516,0.0253,0.0114,0.189,0.128,199.974
0.657,0.473,1,-12.051,1,0.0368,0.232,0.026,0.108,0.153,150.029
0.936,0.474,1,-9.694,1,0.393,0.0213,0,0.111,0.168,129.999
0.765,0.62,10,-7.338,0,0.14,0.0643,0.00019,0.16,0.218,219.808
0.65,0.952,11,-2.686,1,0.5,0.0912,0.351,0.337,0.256,209.998
0.386,0.936,7,-5.551,1,0.604,0.101,0.00192,0.381,0.193,190.15
0.563,0.68,0,-5.953,1,0.39,0.236,3.28E-05,0.122,0.0396,180.218
0.777,0.902,1,-3.915,1,0.349,0.0905,0,0.275,0.462,129.985
0.607,0.749,2,-4.497,1,0.0728,0.00641,7.66E-05,0.234,0.18,121.829
0.628,0.573,1,-8.161,1,0.0673,0.00362,0,0.0874,0.0387,115.503
0.468,0.325,1,-8.267,1,0.245,0.115,0.726,0.109,0.0387,191.186
0.512,0.44,1,-7.816,1,0.233,0.00386,3.11E-06,0.233,0.132,207.992
0.504,0.48,3,-8.885,1,0.045,0.832,0.000252,0.101,0.878,173.993
